ID_region,ID_subregion,ID_region_case_code,ID_subregion_case_code,ID_region_name,ID_subregion_name
1,1,991,971,Africa,East Africa
1,2,991,972,Africa,Central Africa
1,3,991,973,Africa,Southern Africa
1,4,991,974,Africa,West Africa
1,5,991,975,Africa,North Africa
2,6,992,976,Latin America and the Caribbean,Caribbean
2,7,992,977,Latin America and the Caribbean,Central America and Mexico
2,8,992,978,Latin America and the Caribbean,South America
3,9,979,979,North America,North America
4,10,994,980,Asia and the Pacific,Central Asia
4,11,994,981,Asia and the Pacific,East Asia
4,12,994,982,Asia and the Pacific,South Asia
4,13,994,983,Asia and the Pacific,South-East Asia
4,14,994,984,Asia and the Pacific,Oceania
5,15,985,985,Middle East and Iran,Middle East and Iran
6,16,996,986,Europe,East-Central Europe
6,17,996,987,Europe,Eastern Europe/post-Soviet Europe
6,18,996,988,Europe,North WestEurope
6,19,996,989,Europe,South Europe
